Pais,Anio,Emision_anual_de_CO2,Consumo_de_combustibles_fosiles,Average surface temperature
Australia,1970,147862780,"539,19385","21,896845"
Australia,1971,151117890,"563,9407","21,555687"
Australia,1972,153598260,"591,0382","21,982270"
Australia,1973,170141920,"631,9479","22,037512"
Australia,1974,166182740,"669,5066","20,584202"
Australia,1975,173101520,"678,3161","21,228804"
Australia,1976,169803060,"705,69037","20,955015"
Australia,1977,181912910,"744,54974","21,645136"
Australia,1978,191051580,"766,5332","21,344397"
Australia,1979,192321940,"797,83167","22,050299"
Australia,1980,204370200,"803,1974","22,476896"
Australia,1981,213809920,"815,50165","21,975897"
Australia,1982,218000900,"810,51056","21,816086"
Australia,1983,207645390,"804,34625","22,079447"
Australia,1984,217514610,"831,13434","21,377413"
Australia,1985,224557460,"853,61554","21,955000"
Australia,1986,224040290,"869,46875","21,988586"
Australia,1987,234598320,"895,7819","21,950060"
Australia,1988,240737040,"936,594","22,466513"
Australia,1989,256838110,"984,97925","21,693398"
Australia,1990,278061000,"1005,01117","22,241304"
Australia,1991,279437380,"995,33966","22,329748"
Australia,1992,284433440,"1011,1069","21,666819"
Australia,1993,288780400,"1033,7987","21,976034"
Australia,1994,293613280,"1075,5049","22,029740"
Australia,1995,304962300,"1105,3599","21,740072"
Australia,1996,311850880,"1137,8004","22,214340"
Australia,1997,320242530,"1166,8213","21,928260"
Australia,1998,334037800,"1196,0067","22,450620"
Australia,1999,343876200,"1245,3375","21,750826"
Australia,2000,349897630,"1253,1943","21,287556"
Australia,2001,357667780,"1264,4698","21,458199"
Australia,2002,362424930,"1288,9951","22,310005"
Australia,2003,370784420,"1306,2241","22,224907"
Australia,2004,382004900,"1347,7529","22,078050"
Australia,2005,385081500,"1349,514","22,727583"
Australia,2006,391372540,"1408,5713","22,045454"
Australia,2007,398896260,"1446,271","22,272028"
Australia,2008,404279300,"1475,3569","22,009054"
Australia,2009,406977100,"1450,3665","22,494513"
Australia,2010,405025950,"1443,7646","21,751925"
Australia,2011,403874400,"1469,9421","21,347992"
Australia,2012,405005120,"1448,7358","21,739702"
Australia,2013,397849900,"1454,2837","22,897362"
Australia,2014,392609600,"1472,9941","22,594900"
Australia,2015,400589200,"1501,1394","22,506400"
Australia,2016,409666340,"1491,7903","22,401682"
Australia,2017,413407840,"1494,3191","22,474947"
Australia,2018,414780580,"1491,3997","22,603178"
Australia,2019,414925300,"1531,1896","23,126204"
Australia,2020,398546900,"1413,4504","22,580719"
Australia,2021,388472300,"1383,9531","21,964605"
Australia,2022,384078430,"1429,6251","21,874098"
Australia,2023,384316060,"1407,3069","22,426826"
Australia,2024,386732380,"1413,3969","22,790445"
Brazil,1970,93466984,"343,1777","24,463675"
Brazil,1971,102313960,"372,7313","23,952879"
Brazil,1972,113992010,"426,18042","24,452177"
Brazil,1973,132029210,"510,66965","24,519325"
Brazil,1974,142980540,"562,2753","23,835920"
Brazil,1975,150287150,"582,8163","23,991670"
Brazil,1976,154561870,"627,01337","24,030891"
Brazil,1977,162313580,"653,83795","24,352036"
Brazil,1978,177060600,"717,5555","24,188026"
Brazil,1979,187727740,"755,3806","24,233805"
Brazil,1980,186127380,"751,63617","24,495901"
Brazil,1981,171261920,"710,3281","24,372345"
Brazil,1982,171439150,"731,466","24,493782"
Brazil,1983,165851310,"701,3342","24,779867"
Brazil,1984,167524240,"726,32733","24,384748"
Brazil,1985,180064830,"767,7744","24,154213"
Brazil,1986,197183400,"823,0752","24,336820"
Brazil,1987,205911790,"848,22943","24,945023"
Brazil,1988,207640260,"869,938","24,560500"
Brazil,1989,212015970,"880,15173","24,235071"
Brazil,1990,218657680,"859,2709","24,647757"
Brazil,1991,229393580,"888,1356","24,552994"
Brazil,1992,233600860,"897,35315","24,503748"
Brazil,1993,244305540,"940,2603","24,676900"
Brazil,1994,254002260,"988,349","24,696066"
Brazil,1995,268677540,"1050,2279","24,780680"
Brazil,1996,289310900,"1126,5142","24,550446"
Brazil,1997,306949060,"1205,2446","24,866339"
Brazil,1998,317359420,"1258,3861","25,356539"
Brazil,1999,327255650,"1279,368","24,581001"
Brazil,2000,340182820,"1346,8123","24,468048"
Brazil,2001,346165730,"1377,541","24,788582"
Brazil,2002,347764960,"1368,4822","25,190690"
Brazil,2003,344644930,"1351,8254","24,974861"
Brazil,2004,361434020,"1425,7623","24,848555"
Brazil,2005,364370560,"1446,6989","25,171263"
Brazil,2006,368870940,"1481,5897","24,939947"
Brazil,2007,390573440,"1551,8441","25,135178"
Brazil,2008,412637860,"1645,6338","24,786936"
Brazil,2009,389775330,"1561,6267","25,011078"
Brazil,2010,440269060,"1753,8448","25,333456"
Brazil,2011,461911330,"1826,8772","24,892649"
Brazil,2012,497468200,"1951,5303","25,170889"
Brazil,2013,531568830,"2073,4927","25,060377"
Brazil,2014,556525500,"2151,1353","25,171837"
Brazil,2015,528173540,"2089,39","25,683662"
Brazil,2016,491744830,"1935,6086","25,564200"
Brazil,2017,497254560,"1960,4471","25,381369"
Brazil,2018,476600540,"1867,5176","25,092575"
Brazil,2019,476723740,"1872,509","25,529654"
Brazil,2020,447999400,"1734,1833","25,193413"
Brazil,2021,496562000,"1939,3363","24,974846"
Brazil,2022,480058300,"1872,7915","24,793740"
Brazil,2023,483991940,"1883,2297","25,542206"
Brazil,2024,483011550,"1889,1785","25,789710"
Canada,1970,341232200,"1398,0115","-4,971915"
Canada,1971,352316700,"1434,6423","-4,778655"
Canada,1972,380813660,"1516,706","-6,767322"
Canada,1973,381298850,"1633,6702","-4,010936"
Canada,1974,389631550,"1658,759","-5,585841"
Canada,1975,396790430,"1654,5682","-4,906509"
Canada,1976,398965920,"1716,3948","-4,775705"
Canada,1977,407790500,"1806,4119","-3,844605"
Canada,1978,415532320,"1796,4231","-5,319194"
Canada,1979,441684060,"1833,9663","-4,942274"
Canada,1980,442843200,"1856,9854","-4,342841"
Canada,1981,429622400,"1789,4171","-2,742507"
Canada,1982,414454880,"1736,721","-5,738543"
Canada,1983,408334850,"1669,3005","-4,619453"
Canada,1984,425237000,"1764,493","-4,464080"
Canada,1985,421726000,"1782,3146","-4,783962"
Canada,1986,404715230,"1758,2021","-4,779742"
Canada,1987,430982050,"1815,9829","-3,231089"
Canada,1988,455672830,"1944,692","-4,076150"
Canada,1989,462888830,"2032,3704","-4,940269"
Canada,1990,458017860,"1916,0156","-4,969122"
Canada,1991,449776450,"1860,1796","-4,312026"
Canada,1992,463392770,"1928,2595","-4,911989"
Canada,1993,464071580,"1946,971","-4,369842"
Canada,1994,478467870,"2009,356","-4,284362"
Canada,1995,491305340,"2095,3997","-4,188450"
Canada,1996,507775200,"2139,88","-4,826654"
Canada,1997,522018700,"2201,377","-4,171004"
Canada,1998,529614820,"2231,2104","-2,514355"
Canada,1999,543859500,"2293,156","-3,228509"
Canada,2000,566679900,"2356,5771","-4,047199"
Canada,2001,558980600,"2350,0083","-3,030084"
Canada,2002,564256200,"2428,9885","-4,271507"
Canada,2003,581190400,"2495,393","-3,718209"
Canada,2004,576286400,"2508,973","-4,764981"
Canada,2005,570396100,"2473,3806","-3,165136"
Canada,2006,566315400,"2362,242","-2,272515"
Canada,2007,589956200,"2582,263","-3,947485"
Canada,2008,574214340,"2508,4846","-4,148065"
Canada,2009,541129860,"2394,7827","-3,972043"
Canada,2010,554307460,"2477,27","-1,689738"
Canada,2011,562832450,"2538,5256","-3,394210"
Canada,2012,561769540,"2520,9883","-2,937550"
Canada,2013,568589700,"2576,7551","-3,977380"
Canada,2014,564938240,"2602,08","-4,110524"
Canada,2015,563002560,"2597,8538","-3,511014"
Canada,2016,553707000,"2535,2996","-2,647904"
Canada,2017,566660300,"2567,7212","-3,214119"
Canada,2018,575090750,"2651,6787","-4,208143"
Canada,2019,579007040,"2645,248","-3,619446"
Canada,2020,524207940,"2413,2302","-3,555461"
Canada,2021,537478660,"2461,1836","-2,753712"
Canada,2022,547657660,"2532,1912","-3,573582"
Canada,2023,545478500,"2538,3286","-1,805844"
Canada,2024,533340100,"2575,6956","-1,745485"
China,1970,807963650,"2290,621","5,939470"
China,1971,909209860,"2714,1492","6,188347"
China,1972,968635800,"2921,401","6,127798"
China,1973,1008268600,"3077,9963","6,498521"
China,1974,1028063500,"3163,5293","6,092701"
China,1975,1183153500,"3551,4854","6,560354"
China,1976,1226339500,"3744,1455","5,915623"
China,1977,1340715300,"4088,7341","6,130463"
China,1978,1492517500,"4504,2134","6,445220"
China,1979,1525417300,"4628,2466","6,428626"
China,1980,1494297900,"4655,3745","6,329942"
China,1981,1476280000,"4570,128","6,357560"
China,1982,1606239100,"4756,829","6,562245"
China,1983,1693746700,"5042,1646","6,269985"
China,1984,1844212700,"5428,434","6,050337"
China,1985,1997193300,"5877,182","6,108601"
China,1986,2103429900,"6164,527","6,270081"
China,1987,2256629500,"6654,4683","6,755579"
China,1988,2424444200,"7144,3037","6,711441"
China,1989,2462150000,"7486,3022","6,592942"
China,1990,2483534300,"7563,273","6,978855"
China,1991,2619143400,"7968,69","6,671934"
China,1992,2731290400,"8386,551","6,402998"
China,1993,2914284500,"9003,102","6,539381"
China,1994,3093890800,"9509,277","7,148883"
China,1995,3351197200,"9741,276","6,808303"
China,1996,3499310600,"10305,78","6,488123"
China,1997,3512350000,"10351,442","6,827494"
China,1998,3355336000,"10363,471","7,592323"
China,1999,3549949000,"10752,908","7,429342"
China,2000,3643809500,"11085,26","6,785953"
China,2001,3724114200,"11595,462","7,180119"
China,2002,4098180600,"12657,191","7,314819"
China,2003,4835251700,"14859,568","7,105787"
China,2004,5210961400,"17332,893","7,282019"
China,2005,5881990700,"19713,346","6,944292"
China,2006,6486184400,"21612,988","7,518627"
China,2007,6974663000,"23448,26","7,721657"
China,2008,7492404000,"23943,34","7,184832"
China,2009,7881491000,"25087,559","7,395186"
China,2010,8610048000,"26643,773","7,176935"
China,2011,9520154000,"28885,965","6,913705"
China,2012,9767310000,"29585,432","6,633854"
China,2013,9942371000,"30528,387","7,388418"
China,2014,9976027000,"30830,852","7,311995"
China,2015,9858040000,"30885,834","7,660294"
China,2016,9748175000,"30593,77","7,763681"
China,2017,10000013000,"31511,137","7,772824"
China,2018,10346790000,"32720,148","7,425072"
China,2019,10713515000,"33897,516","7,570721"
China,2020,10896520000,"34728,39","7,606333"
China,2021,11284401000,"36292,25","7,823129"
China,2022,11711807000,"36372,65","7,784602"
China,2023,12172008000,"38320,816","7,972056"
China,2024,12289037000,"38907,273","8,343701"
France,1970,463946460,"1643,4277","12,432178"
France,1971,497045800,"1720,0192","12,301757"
France,1972,517593100,"1827,3511","12,112389"
France,1973,542646300,"2003,8241","12,298697"
France,1974,524736700,"1938,3339","12,554234"
France,1975,486023100,"1800,0845","12,418812"
France,1976,527371840,"1961,6698","12,765880"
France,1977,511269060,"1916,6409","12,571994"
France,1978,532682500,"1985,2029","12,166846"
France,1979,536053000,"2028,1571","12,201298"
France,1980,514509470,"1943,2689","11,967956"
France,1981,462596380,"1776,0688","12,581608"
France,1982,443395520,"1687,8794","13,085629"
France,1983,426039200,"1640,2384","12,915580"
